title,year,doi,openalex_id,cited_by,is_oa,pdf_url,landing_url,venue,doi_key,title_norm,citation_score,recency_score,kw_score_raw,kw_score,gold_probability,cluster3_probability,ml_match_gold,ml_match_cluster,ml_score_gold,ml_score_cluster3,ml_score_total,final_score
Nucleation-controlled growth of superior lead-free perovskite Cs3Bi2I9 single-crystals for high-performance X-ray detection,2020,10.1038/s41467-020-16034-w,https://openalex.org/W3022329226,495,True,https://www.nature.com/articles/s41467-020-16034-w.pdf,https://doi.org/10.1038/s41467-020-16034-w,Nature Communications,10.1038s41467-020-16034-w,nucleation controlled growth of superior lead free perovskite cs3bi2i9 single crystals for high performance x ray detection,31.03287963362464,0.5,0.0,0.0,0.7396567899793371,0.4509612847067784,doi_key,doi_key,8.875881479752046,3.607690277654227,12.483571757406272,44.01645139103091
Highly stable flexible pressure sensors with a quasi-homogeneous composition and interlinked interfaces,2022,10.1038/s41467-022-29093-y,https://openalex.org/W4221009261,382,True,https://www.nature.com/articles/s41467-022-29093-y.pdf,https://doi.org/10.1038/s41467-022-29093-y,Nature Communications,10.1038s41467-022-29093-y,highly stable flexible pressure sensors with a quasi homogeneous composition and interlinked interfaces,29.740174945903227,0.7,2.0,4.0,0.6181492353895726,0.2390373597324566,doi_key,doi_key,7.417790824674871,1.9122988778596528,9.330089702534524,43.770264648437745
Metal oxide nanoparticles and their applications in nanotechnology,2019,10.1007/s42452-019-0592-3,https://openalex.org/W2944906172,1001,True,https://link.springer.com/content/pdf/10.1007/s42452-019-0592-3.pdf,https://doi.org/10.1007/s42452-019-0592-3,SN Applied Sciences,10.1007s42452-019-0592-3,metal oxide nanoparticles and their applications in nanotechnology,34.54876640822405,0.4,0.0,0.0,0.5951678544607701,0.2097610183933758,doi_key,doi_key,7.142014253529242,1.6780881471470064,8.820102400676248,43.768868808900294
Modulation of recombination zone position for quasi-two-dimensional blue perovskite light-emitting diodes with efficiency exceeding 5%,2019,10.1038/s41467-019-09011-5,https://openalex.org/W2919782722,558,True,https://www.nature.com/articles/s41467-019-09011-5.pdf,https://doi.org/10.1038/s41467-019-09011-5,Nature Communications,10.1038s41467-019-09011-5,modulation of recombination zone position for quasi two dimensional blue perovskite light emitting diodes with efficiency exceeding 5,31.630747365775495,0.4,0.0,0.0,0.7387429408714034,0.355599876301056,doi_key,doi_key,8.86491529045684,2.844799010408448,11.709714300865288,43.74046166664078
Recent progress in metal–organic complexes for optoelectronic applications,2014,10.1039/c3cs60449g,https://openalex.org/W2171635616,1126,True,https://pubs.rsc.org/en/content/articlepdf/2014/cs/c3cs60449g,https://doi.org/10.1039/c3cs60449g,Chemical Society Reviews,10.1039c3cs60449g,recent progress in metal organic complexes for optoelectronic applications,35.13657257019888,0.0,0.0,0.0,0.5913759569185865,0.1663021411288171,doi_key,doi_key,7.096511483023038,1.3304171290305369,8.426928612053574,43.56350118225245
Dipolar cations confer defect tolerance in wide-bandgap metal halide perovskites,2018,10.1038/s41467-018-05531-8,https://openalex.org/W2885341599,298,True,https://www.nature.com/articles/s41467-018-05531-8.pdf,https://doi.org/10.1038/s41467-018-05531-8,Nature Communications,10.1038s41467-018-05531-8,dipolar cations confer defect tolerance in wide bandgap metal halide perovskites,28.502217866953433,0.3,0.0,0.0,0.5933082231739933,0.9311824761610188,doi_key,doi_key,7.11969867808792,7.44945980928815,14.56915848737607,43.371376354329506
Machine learning in materials science,2019,10.1002/inf2.12028,https://openalex.org/W2972418846,944,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/inf2.12028,https://doi.org/10.1002/inf2.12028,InfoMat,10.1002inf2.12028,machine learning in materials science,34.255924637468716,0.4,0.0,0.0,0.5806238912560295,0.2045303488316982,doi_key,doi_key,6.967486695072354,1.6362427906535857,8.60372948572594,43.25965412319466
Circularly polarized light detection using chiral hybrid perovskite,2019,10.1038/s41467-019-09942-z,https://openalex.org/W2941942848,552,True,https://www.nature.com/articles/s41467-019-09942-z.pdf,https://doi.org/10.1038/s41467-019-09942-z,Nature Communications,10.1038s41467-019-09942-z,circularly polarized light detection using chiral hybrid perovskite,31.576790007611674,0.4,0.0,0.0,0.7329970909223753,0.3102743540962374,doi_key,doi_key,8.795965091068503,2.482194832769899,11.278159923838402,43.25494993145007
Facile fabrication of large-grain CH3NH3PbI3−xBrx films for high-efficiency solar cells via CH3NH3Br-selective Ostwald ripening,2016,10.1038/ncomms12305,https://openalex.org/W2478184717,526,True,https://www.nature.com/articles/ncomms12305.pdf,https://doi.org/10.1038/ncomms12305,Nature Communications,10.1038ncomms12305,facile fabrication of large grain ch3nh3pbi3 xbrx films for high efficiency solar cells via ch3nh3br selective ostwald ripening,31.33600274270681,0.1,0.0,0.0,0.7299257308506669,0.3804843269252003,doi_key,doi_key,8.759108770208003,3.0438746154016023,11.802983385609606,43.23898612831642
Synthetic control over orientational degeneracy of spacer cations enhances solar cell efficiency in two-dimensional perovskites,2019,10.1038/s41467-019-08980-x,https://openalex.org/W2924619706,294,True,https://www.nature.com/articles/s41467-019-08980-x.pdf,https://doi.org/10.1038/s41467-019-08980-x,Nature Communications,10.1038s41467-019-08980-x,synthetic control over orientational degeneracy of spacer cations enhances solar cell efficiency in two dimensional perovskites,28.434876781699103,0.4,0.0,0.0,0.5683748752658734,0.9305934716425304,doi_key,doi_key,6.82049850319048,7.444747773140243,14.265246276330723,43.10012305802982
